+--------+-----------+
|movie_id|movie_title|
+--------+-----------+
|549     |Movie 549  |
|762     |Movie 762  |
|471     |Movie 471  |
|808     |Movie 808  |
|93      |Movie 93   |
|897     |Movie 897  |
|929     |Movie 929  |
|402     |Movie 402  |
|418     |Movie 418  |
|210     |Movie 210  |
|836     |Movie 836  |
|764     |Movie 764  |
|980     |Movie 980  |
|321     |Movie 321  |
|201     |Movie 201  |
|609     |Movie 609  |
|638     |Movie 638  |
|318     |Movie 318  |
|833     |Movie 833  |
|431     |Movie 431  |
|432     |Movie 432  |
|360     |Movie 360  |
|937     |Movie 937  |
|430     |Movie 430  |
|582     |Movie 582  |
|396     |Movie 396  |
|20      |Movie 20   |
|498     |Movie 498  |
|36      |Movie 36   |
|173     |Movie 173  |
|180     |Movie 180  |
|614     |Movie 614  |
|590     |Movie 590  |
|595     |Movie 595  |
|40      |Movie 40   |
|434     |Movie 434  |
|688     |Movie 688  |
|365     |Movie 365  |
|188     |Movie 188  |
|282     |Movie 282  |
|875     |Movie 875  |
|386     |Movie 386  |
|262     |Movie 262  |
|976     |Movie 976  |
|843     |Movie 843  |
|37      |Movie 37   |
|244     |Movie 244  |
|399     |Movie 399  |
|151     |Movie 151  |
|494     |Movie 494  |
|760     |Movie 760  |
|887     |Movie 887  |
|947     |Movie 947  |
|993     |Movie 993  |
|626     |Movie 626  |
|822     |Movie 822  |
|69      |Movie 69   |
|489     |Movie 489  |
|324     |Movie 324  |
|186     |Movie 186  |
|348     |Movie 348  |
|482     |Movie 482  |
|815     |Movie 815  |
|576     |Movie 576  |
|510     |Movie 510  |
|122     |Movie 122  |
|745     |Movie 745  |
|686     |Movie 686  |
|213     |Movie 213  |
|227     |Movie 227  |
|256     |Movie 256  |
|637     |Movie 637  |
|312     |Movie 312  |
|993     |Movie 993  |
|555     |Movie 555  |
|409     |Movie 409  |
|871     |Movie 871  |
|445     |Movie 445  |
|937     |Movie 937  |
|593     |Movie 593  |
|620     |Movie 620  |
|419     |Movie 419  |
|927     |Movie 927  |
|755     |Movie 755  |
|848     |Movie 848  |
|310     |Movie 310  |
|82      |Movie 82   |
|961     |Movie 961  |
|645     |Movie 645  |
|788     |Movie 788  |
|613     |Movie 613  |
|117     |Movie 117  |
|224     |Movie 224  |
|87      |Movie 87   |
|616     |Movie 616  |
|41      |Movie 41   |
|347     |Movie 347  |
|313     |Movie 313  |
|962     |Movie 962  |
|694     |Movie 694  |
|708     |Movie 708  |
|850     |Movie 850  |
|115     |Movie 115  |
|300     |Movie 300  |
|525     |Movie 525  |
|898     |Movie 898  |
|407     |Movie 407  |
|321     |Movie 321  |
|697     |Movie 697  |
|332     |Movie 332  |
|92      |Movie 92   |
|99      |Movie 99   |
|432     |Movie 432  |
|758     |Movie 758  |
|748     |Movie 748  |
|91      |Movie 91   |
|148     |Movie 148  |
|829     |Movie 829  |
|411     |Movie 411  |
|413     |Movie 413  |
|144     |Movie 144  |
|775     |Movie 775  |
|370     |Movie 370  |
|600     |Movie 600  |
|181     |Movie 181  |
|441     |Movie 441  |
|406     |Movie 406  |
|121     |Movie 121  |
|767     |Movie 767  |
|608     |Movie 608  |
|48      |Movie 48   |
|950     |Movie 950  |
|283     |Movie 283  |
|14      |Movie 14   |
|776     |Movie 776  |
|665     |Movie 665  |
|864     |Movie 864  |
|499     |Movie 499  |
|173     |Movie 173  |
|409     |Movie 409  |
|572     |Movie 572  |
|178     |Movie 178  |
|477     |Movie 477  |
|237     |Movie 237  |
|772     |Movie 772  |
|771     |Movie 771  |
|809     |Movie 809  |
|762     |Movie 762  |
|335     |Movie 335  |
|438     |Movie 438  |
|226     |Movie 226  |
|533     |Movie 533  |
|511     |Movie 511  |
|718     |Movie 718  |
|22      |Movie 22   |
|107     |Movie 107  |
|750     |Movie 750  |
|960     |Movie 960  |
|573     |Movie 573  |
|643     |Movie 643  |
|179     |Movie 179  |
|404     |Movie 404  |
|89      |Movie 89   |
|780     |Movie 780  |
|864     |Movie 864  |
|730     |Movie 730  |
|278     |Movie 278  |
|951     |Movie 951  |
|391     |Movie 391  |
|44      |Movie 44   |
|168     |Movie 168  |
|621     |Movie 621  |
|445     |Movie 445  |
|61      |Movie 61   |
|366     |Movie 366  |
|533     |Movie 533  |
|129     |Movie 129  |
|808     |Movie 808  |
|625     |Movie 625  |
|508     |Movie 508  |
|433     |Movie 433  |
|168     |Movie 168  |
|135     |Movie 135  |
|259     |Movie 259  |
|503     |Movie 503  |
|103     |Movie 103  |
|984     |Movie 984  |
|875     |Movie 875  |
|5       |Movie 5    |
|408     |Movie 408  |
|841     |Movie 841  |
|667     |Movie 667  |
|39      |Movie 39   |
|341     |Movie 341  |
|94      |Movie 94   |
|42      |Movie 42   |
|191     |Movie 191  |
|124     |Movie 124  |
|22      |Movie 22   |
|926     |Movie 926  |
|63      |Movie 63   |
|103     |Movie 103  |
|613     |Movie 613  |
|301     |Movie 301  |
|588     |Movie 588  |
|982     |Movie 982  |
|796     |Movie 796  |
|701     |Movie 701  |
|368     |Movie 368  |
|873     |Movie 873  |
|416     |Movie 416  |
|862     |Movie 862  |
|604     |Movie 604  |
|431     |Movie 431  |
|818     |Movie 818  |
|267     |Movie 267  |
|760     |Movie 760  |
|857     |Movie 857  |
|766     |Movie 766  |
|695     |Movie 695  |
|65      |Movie 65   |
|404     |Movie 404  |
|216     |Movie 216  |
|711     |Movie 711  |
|519     |Movie 519  |
|307     |Movie 307  |
|43      |Movie 43   |
|75      |Movie 75   |
|491     |Movie 491  |
|237     |Movie 237  |
|764     |Movie 764  |
|314     |Movie 314  |
|647     |Movie 647  |
|189     |Movie 189  |
|959     |Movie 959  |
|309     |Movie 309  |
|806     |Movie 806  |
|313     |Movie 313  |
|854     |Movie 854  |
|634     |Movie 634  |
|196     |Movie 196  |
|771     |Movie 771  |
|288     |Movie 288  |
|696     |Movie 696  |
|680     |Movie 680  |
|572     |Movie 572  |
+--------+-----------+
