+---------+-------+-----------+--------+-----------+------------+
|hall_name|session|seat_number|seat_row|seat_markup|is_available|
+---------+-------+-----------+--------+-----------+------------+
|Hall 909 |1      |14         |3       |30         |true        |
|Hall 909 |1      |13         |10      |10         |true        |
|Hall 909 |1      |19         |2       |10         |true        |
|Hall 1633|2      |19         |6       |30         |true        |
|Hall 1633|2      |12         |2       |10         |true        |
|Hall 1633|2      |5          |10      |30         |true        |
|Hall 1165|3      |2          |7       |30         |true        |
|Hall 1165|3      |4          |9       |30         |true        |
|Hall 1165|3      |9          |9       |10         |true        |
|Hall 1165|3      |20         |1       |50         |true        |
|Hall 1165|3      |14         |5       |20         |true        |
|Hall 699 |4      |14         |5       |30         |true        |
|Hall 699 |4      |9          |3       |10         |true        |
|Hall 699 |4      |9          |2       |50         |true        |
|Hall 699 |4      |8          |7       |50         |true        |
|Hall 707 |5      |12         |9       |10         |true        |
|Hall 707 |5      |17         |6       |10         |true        |
|Hall 707 |5      |8          |2       |10         |true        |
|Hall 707 |5      |1          |4       |50         |true        |
|Hall 141 |6      |15         |2       |10         |true        |
|Hall 141 |6      |15         |4       |10         |true        |
|Hall 141 |6      |4          |3       |50         |true        |
|Hall 908 |7      |13         |8       |10         |true        |
|Hall 908 |7      |1          |2       |20         |true        |
|Hall 908 |7      |3          |10      |30         |true        |
|Hall 908 |7      |10         |7       |50         |true        |
|Hall 595 |8      |8          |9       |20         |true        |
|Hall 595 |8      |20         |2       |30         |true        |
|Hall 595 |8      |11         |7       |50         |true        |
|Hall 595 |8      |16         |5       |20         |true        |
|Hall 443 |9      |1          |1       |30         |true        |
|Hall 443 |9      |19         |10      |20         |true        |
|Hall 443 |9      |4          |6       |50         |true        |
|Hall 443 |9      |16         |2       |30         |true        |
|Hall 443 |9      |10         |10      |30         |true        |
|Hall 443 |9      |6          |7       |20         |true        |
|Hall 443 |9      |16         |7       |10         |true        |
|Hall 993 |10     |11         |7       |20         |true        |
|Hall 993 |10     |7          |6       |20         |true        |
|Hall 993 |10     |8          |1       |50         |true        |
|Hall 993 |10     |15         |7       |20         |true        |
|Hall 993 |10     |15         |1       |20         |true        |
|Hall 993 |10     |12         |2       |30         |true        |
|Hall 785 |11     |8          |2       |20         |true        |
|Hall 785 |11     |9          |8       |10         |true        |
|Hall 785 |11     |8          |4       |50         |true        |
|Hall 785 |11     |5          |9       |10         |true        |
|Hall 785 |11     |16         |5       |30         |true        |
|Hall 785 |11     |15         |7       |10         |true        |
|Hall 785 |11     |9          |7       |50         |true        |
|Hall 785 |11     |7          |8       |20         |true        |
|Hall 54  |12     |20         |6       |20         |true        |
|Hall 54  |12     |12         |3       |30         |true        |
|Hall 54  |12     |16         |10      |30         |true        |
|Hall 54  |12     |4          |8       |20         |true        |
|Hall 215 |13     |4          |1       |10         |true        |
|Hall 215 |13     |10         |5       |30         |true        |
|Hall 215 |13     |7          |8       |20         |true        |
|Hall 215 |13     |20         |3       |10         |true        |
|Hall 660 |14     |5          |5       |50         |true        |
|Hall 660 |14     |5          |1       |10         |true        |
|Hall 660 |14     |16         |7       |50         |true        |
|Hall 660 |14     |10         |5       |30         |true        |
|Hall 660 |14     |19         |4       |10         |true        |
|Hall 1255|15     |19         |8       |50         |true        |
|Hall 1255|15     |2          |1       |30         |true        |
|Hall 1255|15     |13         |4       |10         |true        |
|Hall 1255|15     |1          |5       |50         |true        |
|Hall 1430|16     |8          |10      |10         |true        |
|Hall 1430|16     |2          |1       |20         |true        |
|Hall 1430|16     |4          |1       |50         |true        |
|Hall 1604|17     |8          |1       |10         |true        |
|Hall 85  |18     |5          |9       |10         |true        |
|Hall 85  |18     |19         |1       |30         |true        |
|Hall 85  |18     |20         |10      |20         |true        |
|Hall 85  |18     |1          |2       |10         |true        |
|Hall 85  |18     |15         |8       |10         |true        |
|Hall 85  |18     |19         |4       |10         |true        |
|Hall 85  |18     |4          |2       |10         |true        |
|Hall 192 |19     |6          |3       |10         |true        |
|Hall 192 |19     |18         |5       |30         |true        |
|Hall 192 |19     |19         |7       |20         |true        |
|Hall 192 |19     |11         |9       |20         |true        |
|Hall 192 |19     |3          |5       |30         |true        |
|Hall 192 |19     |15         |10      |50         |true        |
|Hall 192 |19     |11         |2       |10         |true        |
|Hall 192 |19     |1          |5       |20         |true        |
|Hall 192 |19     |10         |2       |20         |true        |
|Hall 615 |20     |1          |9       |10         |true        |
|Hall 615 |20     |17         |4       |50         |true        |
|Hall 699 |21     |14         |5       |30         |true        |
|Hall 699 |21     |9          |3       |10         |true        |
|Hall 699 |21     |9          |2       |50         |true        |
|Hall 699 |21     |8          |7       |50         |true        |
|Hall 386 |22     |18         |7       |50         |true        |
|Hall 386 |22     |16         |5       |10         |true        |
|Hall 386 |22     |4          |3       |20         |true        |
|Hall 386 |22     |1          |9       |20         |true        |
|Hall 386 |22     |17         |8       |20         |true        |
|Hall 106 |23     |15         |6       |50         |true        |
|Hall 106 |23     |4          |5       |10         |true        |
|Hall 106 |23     |18         |8       |10         |true        |
|Hall 39  |24     |18         |2       |20         |true        |
|Hall 39  |24     |3          |9       |10         |true        |
|Hall 39  |24     |18         |6       |30         |true        |
|Hall 39  |24     |1          |1       |10         |true        |
|Hall 1947|25     |6          |4       |10         |true        |
|Hall 1947|25     |13         |8       |10         |true        |
|Hall 1947|25     |11         |8       |20         |true        |
|Hall 777 |26     |12         |7       |30         |true        |
|Hall 777 |26     |10         |8       |10         |true        |
|Hall 777 |26     |13         |10      |50         |true        |
|Hall 777 |26     |20         |2       |50         |true        |
|Hall 1171|27     |14         |9       |20         |true        |
|Hall 1171|27     |1          |3       |10         |true        |
|Hall 1171|27     |11         |10      |10         |true        |
|Hall 1171|27     |16         |4       |20         |true        |
|Hall 1171|27     |9          |5       |30         |true        |
|Hall 1440|28     |5          |2       |10         |true        |
|Hall 1440|28     |12         |3       |50         |true        |
|Hall 1440|28     |10         |1       |10         |true        |
|Hall 1440|28     |6          |3       |30         |true        |
|Hall 1440|28     |18         |4       |50         |true        |
|Hall 1440|28     |3          |5       |30         |true        |
|Hall 956 |29     |4          |5       |20         |true        |
|Hall 956 |29     |2          |8       |50         |true        |
|Hall 956 |29     |8          |1       |10         |true        |
|Hall 956 |29     |9          |10      |10         |true        |
|Hall 956 |29     |16         |9       |10         |true        |
|Hall 1726|30     |15         |8       |20         |true        |
|Hall 1726|30     |9          |1       |30         |true        |
|Hall 1726|30     |11         |3       |10         |true        |
|Hall 1726|30     |15         |1       |50         |true        |
|Hall 1726|30     |15         |4       |20         |true        |
|Hall 1726|30     |5          |1       |20         |true        |
|Hall 1726|30     |14         |10      |20         |true        |
|Hall 1726|30     |8          |3       |30         |true        |
|Hall 1726|30     |7          |6       |50         |true        |
|Hall 276 |31     |13         |5       |10         |true        |
|Hall 276 |31     |11         |3       |20         |true        |
|Hall 276 |31     |16         |8       |30         |true        |
|Hall 276 |31     |4          |4       |30         |true        |
|Hall 276 |31     |19         |9       |50         |true        |
|Hall 276 |31     |8          |4       |30         |true        |
|Hall 1625|32     |6          |7       |20         |true        |
|Hall 1625|32     |9          |9       |20         |true        |
|Hall 814 |33     |11         |7       |20         |true        |
