+----------+---------------+---------------+
|session_id|min_final_price|max_final_price|
+----------+---------------+---------------+
|6114      |30.32          |70.32          |
|4790      |26.25          |66.25          |
|273       |38.07          |68.07          |
|3936      |28.97          |68.97          |
|5761      |29.52          |69.52          |
|5468      |33.87          |73.87          |
|7662      |23.41          |63.41          |
|4326      |33.68          |73.68          |
|2520      |32.53          |52.53          |
|9038      |31.05          |61.05          |
|2466      |18.39          |58.39          |
|5697      |39.01          |69.01          |
|4321      |36.12          |56.12          |
|1750      |24.12          |34.12          |
|5230      |17.75          |57.75          |
|176       |25.35          |45.35          |
|576       |32.82          |72.82          |
|9719      |23.06          |63.06          |
|6373      |28.64          |68.64          |
|4993      |27.5           |67.5           |
|4976      |34.34          |64.34          |
|1003      |18.35          |28.35          |
|292       |25.05          |65.05          |
|7984      |35.03          |55.03          |
|2784      |29.86          |49.86          |
|1552      |26.37          |66.37          |
|5001      |45.94          |45.94          |
|5038      |16.08          |56.08          |
|1811      |23.99          |63.99          |
|2204      |33.89          |73.89          |
|1373      |28.99          |68.99          |
|764       |24.26          |64.26          |
|3762      |21.03          |31.03          |
|4116      |25.73          |65.73          |
|1268      |18.67          |38.67          |
|2749      |29.85          |69.85          |
|173       |24.41          |64.41          |
|161       |28.45          |68.45          |
|3202      |32.11          |72.11          |
|8057      |30             |70             |
|6905      |18.22          |58.22          |
|7499      |26.99          |66.99          |
|9612      |40.64          |70.64          |
|1595      |18.48          |58.48          |
|8428      |44.02          |54.02          |
|8869      |20.85          |60.85          |
|4519      |26.74          |66.74          |
|4611      |15.66          |55.66          |
|4095      |23.32          |63.32          |
|4289      |28.8           |48.8           |
|2990      |25.12          |45.12          |
|8873      |35.36          |65.36          |
|815       |22.02          |62.02          |
|8660      |25.74          |65.74          |
|3150      |25.24          |65.24          |
|2054      |25.11          |45.11          |
|6127      |30.88          |70.88          |
|2702      |44.45          |54.45          |
|8724      |21.63          |61.63          |
|3071      |43.09          |73.09          |
|8457      |31.63          |61.63          |
|4452      |32.63          |62.63          |
|2721      |21.02          |61.02          |
|5604      |33.15          |53.15          |
|9720      |27.48          |67.48          |
|8228      |30.03          |70.03          |
|3834      |26.62          |66.62          |
|824       |16.8           |56.8           |
|5719      |34.3           |74.3           |
|9306      |21.6           |61.6           |
|6861      |17.07          |37.07          |
|5644      |25.22          |55.22          |
|357       |25.17          |35.17          |
|2366      |25.13          |65.13          |
|4634      |36.96          |36.96          |
|769       |22.03          |42.03          |
|266       |16.71          |56.71          |
|2543      |25.5           |55.5           |
|1550      |20.04          |60.04          |
|1287      |16.29          |56.29          |
|6258      |32.47          |72.47          |
|6775      |26.46          |46.46          |
|3840      |21.45          |61.45          |
|366       |32.97          |62.97          |
|307       |27.18          |67.18          |
|3199      |27.4           |47.4           |
|6445      |28.34          |28.34          |
|4078      |29.73          |69.73          |
|91        |16.62          |26.62          |
|5436      |30.49          |30.49          |
|8630      |29.77          |69.77          |
|9362      |34.42          |74.42          |
|6458      |37.73          |67.73          |
|7064      |60.97          |60.97          |
|9491      |38.24          |68.24          |
|7946      |19.6           |59.6           |
|743       |20.6           |40.6           |
|3986      |29.62          |69.62          |
|10        |40.19          |70.19          |
|1940      |17.11          |37.11          |
|9313      |24.32          |64.32          |
|3068      |30.31          |60.31          |
|2773      |28.37          |68.37          |
|2544      |23.89          |43.89          |
|8647      |18.66          |38.66          |
|4356      |29.22          |49.22          |
|5754      |42.57          |72.57          |
|7467      |28.03          |48.03          |
|6219      |37.44          |67.44          |
|5014      |31.06          |41.06          |
|4754      |19.9           |59.9           |
|6626      |32.05          |52.05          |
|5763      |27.16          |47.16          |
|13        |32.83          |52.83          |
|4689      |30.16          |70.16          |
|1319      |25.48          |65.48          |
|8548      |40.31          |50.31          |
|1603      |28.5           |68.5           |
|9185      |15.14          |55.14          |
|1942      |16.31          |36.31          |
|7418      |21.99          |61.99          |
|8579      |26.96          |66.96          |
|1522      |28.06          |38.06          |
|1967      |22.7           |42.7           |
|3442      |22.13          |62.13          |
|6095      |29.4           |39.4           |
|2952      |15.01          |55.01          |
|3755      |28.1           |68.1           |
|6084      |32.34          |62.34          |
|2742      |32.48          |72.48          |
|1006      |26.44          |66.44          |
|8711      |24.95          |64.95          |
|6015      |33.3           |73.3           |
|3046      |32.91          |52.91          |
|9492      |25.2           |65.2           |
|5616      |35.36          |65.36          |
|453       |43.6           |73.6           |
|9079      |36.53          |46.53          |
|8613      |18.13          |58.13          |
|9838      |17.39          |57.39          |
|3530      |27.85          |57.85          |
|9259      |28.87          |68.87          |
|5581      |27.31          |67.31          |
|5208      |26.71          |66.71          |
|6716      |19.66          |59.66          |
|528       |17.97          |57.97          |
|9685      |18.83          |58.83          |
|4351      |17.27          |57.27          |
|7154      |21.06          |61.06          |
|1549      |28.13          |68.13          |
|3463      |30.17          |70.17          |
|1613      |32.91          |52.91          |
|667       |21.53          |61.53          |
|8401      |25.98          |55.98          |
|9771      |30.54          |70.54          |
|4645      |32.17          |72.17          |
|2073      |23.41          |63.41          |
|3717      |26.78          |46.78          |
|9890      |15.75          |55.75          |
|4199      |42.07          |52.07          |
|8475      |26.58          |66.58          |
|6786      |32.95          |72.95          |
|6581      |29.96          |69.96          |
|3378      |21.99          |41.99          |
|1044      |19.16          |59.16          |
|4893      |23.89          |43.89          |
|4967      |24.26          |64.26          |
|3671      |27.2           |37.2           |
|589       |33.3           |73.3           |
|8009      |24.54          |44.54          |
|7942      |17.33          |57.33          |
|9623      |39.2           |69.2           |
|6631      |15.5           |55.5           |
|9647      |30.91          |50.91          |
|682       |30.45          |30.45          |
|329       |32.03          |42.03          |
|7691      |19.24          |59.24          |
|44        |32.28          |52.28          |
|8270      |32.22          |62.22          |
|1144      |27.99          |37.99          |
|4719      |17.95          |57.95          |
|2150      |20.26          |40.26          |
|2598      |21.36          |61.36          |
|1987      |36.97          |66.97          |
|6912      |32.33          |62.33          |
|9661      |22.56          |42.56          |
|2951      |21.33          |21.33          |
|944       |33.85          |73.85          |
|8254      |32.7           |72.7           |
|3035      |18.96          |18.96          |
|6331      |54.93          |74.93          |
