Hash Join  (cost=54.65..7129.99 rows=100000 width=580) (actual time=0.220..49.554 rows=100000 loops=1)
  Hash Cond: (a.type_id = t.id)
  ->  Hash Join  (cost=41.50..3596.39 rows=100000 width=406) (actual time=0.209..24.594 rows=100000 loops=1)
        Hash Cond: (v.attribute_id = a.id)
        ->  Hash Join  (cost=29.50..3319.11 rows=100000 width=397) (actual time=0.148..15.899 rows=100000 loops=1)
              Hash Cond: (v.movie_id = m.id)
              ->  Seq Scan on attribute_value v  (cost=0.00..3026.00 rows=100000 width=382) (actual time=0.001..3.775 rows=100000 loops=1)
              ->  Hash  (cost=17.00..17.00 rows=1000 width=23) (actual time=0.144..0.145 rows=1000 loops=1)
                    Buckets: 1024  Batches: 1  Memory Usage: 64kB
                    ->  Seq Scan on movie m  (cost=0.00..17.00 rows=1000 width=23) (actual time=0.002..0.052 rows=1000 loops=1)
        ->  Hash  (cost=7.00..7.00 rows=400 width=17) (actual time=0.060..0.060 rows=400 loops=1)
              Buckets: 1024  Batches: 1  Memory Usage: 28kB
              ->  Seq Scan on attribute a  (cost=0.00..7.00 rows=400 width=17) (actual time=0.002..0.022 rows=400 loops=1)
  ->  Hash  (cost=11.40..11.40 rows=140 width=520) (actual time=0.006..0.006 rows=4 loops=1)
        Buckets: 1024  Batches: 1  Memory Usage: 9kB
        ->  Seq Scan on attribute_type t  (cost=0.00..11.40 rows=140 width=520) (actual time=0.003..0.004 rows=4 loops=1)
Planning Time: 0.371 ms
Execution Time: 51.231 ms
