Aggregate  (cost=48.63..48.64 rows=1 width=8)
  ->  Nested Loop  (cost=24.07..48.61 rows=4 width=4)
        Join Filter: (m.id = s.movie_id)
        ->  Hash Join  (cost=23.93..48.04 rows=2 width=12)
              Hash Cond: ((st.hall_id = s.hall_id) AND ((st.type)::text = (mp.type)::text))
              ->  Seq Scan on seat st  (cost=0.00..16.77 rows=977 width=10)
              ->  Hash  (cost=23.90..23.90 rows=2 width=154)
                    ->  Hash Join  (cost=8.32..23.90 rows=2 width=154)
                          Hash Cond: (mp.movie_id = s.movie_id)
                          ->  Seq Scan on movie_price mp  (cost=0.00..14.40 rows=440 width=146)
                          ->  Hash  (cost=8.31..8.31 rows=1 width=8)
                                ->  Index Scan using session_pkey on session s  (cost=0.29..8.31 rows=1 width=8)
                                      Index Cond: (id = 10)
        ->  Index Only Scan using movie_pkey on movie m  (cost=0.14..0.27 rows=1 width=4)
              Index Cond: (id = mp.movie_id)
