Aggregate  (cost=22.89..22.90 rows=1 width=8)
  ->  Hash Join  (cost=9.60..22.68 rows=41 width=4)
        Hash Cond: (s.movie_id = m.id)
        ->  Nested Loop  (cost=8.47..21.49 rows=14 width=12)
              Join Filter: (s.hall_id = st.hall_id)
              ->  Hash Join  (cost=8.32..9.56 rows=1 width=154)
                    Hash Cond: (mp.movie_id = s.movie_id)
                    ->  Seq Scan on movie_price mp  (cost=0.00..1.18 rows=18 width=146)
                    ->  Hash  (cost=8.31..8.31 rows=1 width=8)
                          ->  Index Scan using session_pkey on session s  (cost=0.29..8.31 rows=1 width=8)
                                Index Cond: (id = 10)
              ->  Index Scan using idx_seat_type on seat st  (cost=0.15..7.86 rows=326 width=10)
                    Index Cond: ((type)::text = (mp.type)::text)
        ->  Hash  (cost=1.06..1.06 rows=6 width=4)
              ->  Seq Scan on movie m  (cost=0.00..1.06 rows=6 width=4)
